name,epochs,final_train_loss,final_train_accuracy,final_val_accuracy,best_val_accuracy,adaptations_applied,final_hidden_dim,method_type,notes
fixed-mlp-circles,30,0.34961026906967163,0.9912109375,0.99609375,0.99609375,0,,baseline,
net2wider-circles,30,0.419228732585907,0.8583984375,0.890625,0.890625,2,16,dynamic,adaptation=net2wider
gradmax-circles,30,0.44428595900535583,0.826171875,0.8515625,0.8515625,3,14,dynamic,adaptation=gradmax
den-circles,30,0.4711817800998688,0.810546875,0.8203125,0.8203125,0,8,dynamic,adaptation=den
nest-circles,30,0.4572431445121765,0.8857421875,0.90234375,0.90234375,3,8,dynamic,adaptation=nest
dynamic-nodes-circles,30,0.3422900140285492,0.94140625,0.9296875,0.9296875,1,8,dynamic,adaptation=dynamic_nodes
edge-growth-circles,30,0.5670983195304871,0.642578125,0.640625,0.6953125,3,12,dynamic,adaptation=edge_growth
