name,epochs,final_train_loss,final_train_accuracy,final_val_accuracy,best_val_accuracy,adaptations_applied,final_hidden_dim,method_type,notes
fixed-mlp-spirals20,30,0.5767526626586914,0.6588571667671204,0.653333306312561,0.6706666946411133,0,,baseline,
net2wider-spirals20,30,0.6136377453804016,0.6217142939567566,0.6240000128746033,0.6506666541099548,2,20,dynamic,adaptation=net2wider
gradmax-spirals20,30,0.605769157409668,0.6574285626411438,0.6653333306312561,0.6759999990463257,3,18,dynamic,adaptation=gradmax
den-spirals20,30,0.6071948409080505,0.628000020980835,0.6293333172798157,0.6813333630561829,2,16,dynamic,adaptation=den
nest-spirals20,30,0.6160595417022705,0.6331428289413452,0.6240000128746033,0.6586666703224182,3,12,dynamic,adaptation=nest
dynamic-nodes-spirals20,30,0.6564478874206543,0.6079999804496765,0.6320000290870667,0.6386666893959045,1,12,dynamic,adaptation=dynamic_nodes
edge-growth-spirals20,30,0.6148414015769958,0.6725714206695557,0.6853333115577698,0.6919999718666077,3,16,dynamic,adaptation=edge_growth
