name,epochs,final_train_loss,final_train_accuracy,final_val_accuracy,best_val_accuracy,adaptations_applied,final_hidden_dim,method_type,notes
fixed-cnn-patterns,25,1.7678810358047485,0.21125000715255737,0.21250000596046448,0.21250000596046448,0,,baseline,device=cpu; requested_device=auto; torch=2.10.0+cpu; cuda_available=False
wide-cnn-patterns,25,1.3465721607208252,0.6006249785423279,0.5099999904632568,0.637499988079071,0,,baseline,device=cpu; requested_device=auto; torch=2.10.0+cpu; cuda_available=False
