name,epochs,final_train_loss,final_train_accuracy,final_val_accuracy,best_val_accuracy,adaptations_applied,final_hidden_dim,method_type,notes
fixed-mlp-baseline,6,0.312082976102829,0.98046875,0.984375,0.984375,0,,baseline,
net2deeper-dynamic-baseline,6,0.2986275255680084,0.982421875,0.9921875,0.9921875,2,8,dynamic,adaptation=net2deeper
random-search-baseline,6,0.18528372049331665,0.9921875,0.9921875,0.9921875,0,,search,"best model params={'input_dim': 2, 'hidden_dim': 8, 'output_dim': 2, 'activation': 'relu', 'lr': 0.02, 'hidden_dims': [8]}; evaluations=6; search=random_search"
regularized-evolution-search,6,0.18528372049331665,0.9921875,0.9921875,0.9921875,0,,search,"best model params={'input_dim': 2, 'hidden_dim': 8, 'output_dim': 2, 'activation': 'relu', 'lr': 0.02, 'hidden_dims': [8]}; evaluations=6; search=regularized_evolution"
