name,seed,final_val_accuracy,best_val_accuracy,adaptations_applied,final_hidden_dim,parameter_count,nonzero_parameter_count,weight_sparsity,forward_flop_proxy,activation_elements,method_type,notes
wide-cnn-mnist-bn,7,0.1103999987244606,0.1103999987244606,0,0,16474,16474,0.0,4505914,7210,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
wide-cnn-mnist-bn,42,0.11079999804496765,0.11180000007152557,0,0,16474,16474,0.0,4505914,7210,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
channel-pruning-mnist,7,0.1103999987244606,0.1103999987244606,3,0,10678,10678,0.0,2617894,5434,dynamic,adaptation=channel_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
channel-pruning-mnist,42,0.11959999799728394,0.19699999690055847,3,0,10678,10678,0.0,2617894,5434,dynamic,adaptation=channel_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
weights-connections-cnn-mnist,7,0.1103999987244606,0.1103999987244606,5,0,16474,10014,0.39995047052996535,4505914,7210,dynamic,adaptation=weights_connections; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
weights-connections-cnn-mnist,42,0.11079999804496765,0.11459999531507492,5,0,16474,10014,0.39995047052996535,4505914,7210,dynamic,adaptation=weights_connections; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
layerwise-obs-cnn-mnist,7,0.11059999465942383,0.11059999465942383,5,0,16474,10975,0.34045319465081725,4505914,7210,dynamic,adaptation=layerwise_obs; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
layerwise-obs-cnn-mnist,42,0.11159999668598175,0.11180000007152557,5,0,16474,10975,0.34045319465081725,4505914,7210,dynamic,adaptation=layerwise_obs; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
network-slimming-mnist,7,0.1103999987244606,0.1103999987244606,1,0,10678,10678,0.0,2617894,5434,workflow,workflow=network_slimming; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
network-slimming-mnist,42,0.11079999804496765,0.1127999946475029,1,0,10678,10678,0.0,2617894,5434,workflow,workflow=network_slimming; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
