name,method_type,num_runs,mean_final_val_accuracy,std_final_val_accuracy,mean_best_val_accuracy,std_best_val_accuracy,mean_adaptations_applied,mean_final_hidden_dim,mean_parameter_count,mean_nonzero_parameter_count,mean_weight_sparsity,mean_forward_flop_proxy,mean_activation_elements,best_seed,notes
channel-pruning-mnist,dynamic,2,0.11499999836087227,0.004599999636411667,0.15369999781250954,0.043299999088048935,3,0,10678,10678,0.0,2617894,5434,42,adaptation=channel_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
layerwise-obs-cnn-mnist,dynamic,2,0.11109999567270279,0.0005000010132789612,0.1111999973654747,0.0006000027060508728,5,0,16474,10975,0.34045319465081725,4505914,7210,42,adaptation=layerwise_obs; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
wide-cnn-mnist-bn,baseline,2,0.11059999838471413,0.00019999966025352478,0.11109999939799309,0.000700000673532486,0,0,16474,16474,0.0,4505914,7210,42,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
weights-connections-cnn-mnist,dynamic,2,0.11059999838471413,0.00019999966025352478,0.11249999701976776,0.0020999982953071594,5,0,16474,10014,0.39995047052996535,4505914,7210,42,adaptation=weights_connections; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
network-slimming-mnist,workflow,2,0.11059999838471413,0.00019999966025352478,0.11159999668598175,0.0011999979615211487,1,0,10678,10678,0.0,2617894,5434,42,workflow=network_slimming; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
