name,epochs,final_train_loss,final_train_accuracy,final_val_accuracy,best_val_accuracy,adaptations_applied,final_hidden_dim,parameter_count,nonzero_parameter_count,weight_sparsity,forward_flop_proxy,activation_elements,method_type,notes
fixed-cnn-mnist,5,2.3018221855163574,0.09629999846220016,0.09139999747276306,0.10359999537467957,0,0,7562,7562,0.0,2061098,4810,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
wide-cnn-mnist-bn,6,2.243654251098633,0.24609999358654022,0.11079999804496765,0.11180000007152557,0,0,16474,16474,0.0,4505914,7210,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
channel-pruning-mnist,6,2.2441909313201904,0.27149999141693115,0.11959999799728394,0.19699999690055847,3,0,10678,10678,0.0,2617894,5434,dynamic,adaptation=channel_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
channel-pruning-plateau-mnist,6,2.244734287261963,0.24309998750686646,0.11099999397993088,0.11180000007152557,2,0,12466,12466,0.0,3190786,6026,dynamic,adaptation=channel_pruning_plateau; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
weights-connections-cnn-mnist,6,2.2453606128692627,0.22509999573230743,0.11079999804496765,0.11459999531507492,5,0,16474,10014,0.39995047052996535,4505914,7210,dynamic,adaptation=weights_connections; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
layerwise-obs-cnn-mnist,6,2.250143051147461,0.20409999787807465,0.11159999668598175,0.11180000007152557,5,0,16474,10975,0.34045319465081725,4505914,7210,dynamic,adaptation=layerwise_obs; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
network-slimming-mnist,6,2.2609188556671143,0.20080000162124634,0.11079999804496765,0.1127999946475029,1,0,10678,10678,0.0,2617894,5434,workflow,workflow=network_slimming; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
