name,method_type,num_runs,mean_final_val_accuracy,std_final_val_accuracy,mean_best_val_accuracy,std_best_val_accuracy,mean_adaptations_applied,mean_final_hidden_dim,mean_parameter_count,mean_nonzero_parameter_count,mean_weight_sparsity,mean_forward_flop_proxy,mean_activation_elements,best_seed,notes
wide-cnn-patterns-bn,baseline,3,0.51583331823349,0.19917884854579895,0.5224999785423279,0.19455074754922896,0,0,16474,16474,0.0,4505914,7210,7,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
network-slimming-patterns,workflow,3,0.5091666579246521,0.09345973067557815,0.5091666579246521,0.09345973067557815,1,0,9838,9838,0.0,2352616,5138,42,workflow=network_slimming; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
channel-pruning-patterns,dynamic,3,0.4833333194255829,0.007168597552688298,0.48999998966852826,0.016201850090524522,5,0,5971,5971,0.0,1194741,3608,42,adaptation=channel_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
fixed-cnn-patterns,baseline,3,0.12166666487852733,0.03607476862857973,0.1899999976158142,0.014288688706225546,0,0,7562,7562,0.0,2061098,4810,42,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
