name,method_type,num_runs,mean_final_val_accuracy,std_final_val_accuracy,mean_best_val_accuracy,std_best_val_accuracy,mean_adaptations_applied,mean_final_hidden_dim,mean_parameter_count,mean_nonzero_parameter_count,mean_weight_sparsity,mean_forward_flop_proxy,mean_activation_elements,best_seed,notes
wide-cnn-patterns-bn,baseline,5,0.5565000057220459,0.16224673077444615,0.5605000078678131,0.1578480310276785,0,,16474,16474,0.0,4505914,7210,7,device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
network-slimming-patterns,workflow,5,0.5534999966621399,0.10993861642761908,0.5534999966621399,0.10993861642761908,1,,9838,9838,0.0,2352616,5138,7,workflow=network_slimming; device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
fixed-cnn-patterns,baseline,5,0.15250000208616257,0.0469840407852805,0.21249999701976777,0.04280770461520767,0,,7562,7562,0.0,2061098,4810,23,device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
