name,epochs,final_train_loss,final_train_accuracy,final_val_accuracy,best_val_accuracy,adaptations_applied,final_hidden_dim
fixed-mlp-baseline,6,0.706210196018219,0.509765625,0.4765625,0.4765625,0,
minimal-experiment,6,0.7149829864501953,0.494140625,0.5625,0.859375,3,20
